"Date","Year","X_coord","Y_coord","Year_f","week","month"
1990-01-12,1990,321461.796,4845681.107,"1990",1990-01-07,1990-01-01
1990-01-12,1990,299405.283,4846030.11,"1990",1990-01-07,1990-01-01
1990-01-12,1990,313115.178,4845326.174,"1990",1990-01-07,1990-01-01
1990-01-12,1990,313842.653,4842282.178,"1990",1990-01-07,1990-01-01
1990-01-12,1990,314714.653,4846912.931,"1990",1990-01-07,1990-01-01
1990-01-12,1990,312142.21,4847765.892,"1990",1990-01-07,1990-01-01
1990-01-13,1990,300392.387,4832563.667,"1990",1990-01-07,1990-01-01
1990-01-13,1990,313717.244,4834777.486,"1990",1990-01-07,1990-01-01
1990-01-13,1990,306209.134,4840053.614,"1990",1990-01-07,1990-01-01
1990-01-13,1990,302415.807,4832712.5,"1990",1990-01-07,1990-01-01
1990-01-13,1990,296451.858,4845132.262,"1990",1990-01-07,1990-01-01
1990-01-13,1990,321481.975,4841768.387,"1990",1990-01-07,1990-01-01
1990-01-13,1990,320050.039,4850122.734,"1990",1990-01-07,1990-01-01
1990-01-13,1990,312870.909,4848386.326,"1990",1990-01-07,1990-01-01
1990-01-13,1990,324212.245,4845261.554,"1990",1990-01-07,1990-01-01
1990-01-13,1990,316160.365,4840829.295,"1990",1990-01-07,1990-01-01
1990-01-14,1990,310285.25,4834538.634,"1990",1990-01-14,1990-01-01
1990-01-14,1990,312123.772,4850361.411,"1990",1990-01-14,1990-01-01
1990-01-14,1990,304472.406,4835157.247,"1990",1990-01-14,1990-01-01
1990-01-14,1990,326376.38,4843676.751,"1990",1990-01-14,1990-01-01
1990-01-14,1990,314964.829,4846997.838,"1990",1990-01-14,1990-01-01
1990-01-15,1990,305877.543,4843127.984,"1990",1990-01-14,1990-01-01
1990-01-15,1990,299539.573,4837295.472,"1990",1990-01-14,1990-01-01
1990-01-15,1990,311964.969,4845952.188,"1990",1990-01-14,1990-01-01
1990-01-15,1990,324461.881,4844506.233,"1990",1990-01-14,1990-01-01
1990-01-15,1990,299870.931,4834324.078,"1990",1990-01-14,1990-01-01
1990-01-15,1990,306607.082,4841787.202,"1990",1990-01-14,1990-01-01
1990-01-15,1990,311326.39,4842188.66,"1990",1990-01-14,1990-01-01
1990-01-15,1990,303855.725,4839282.35,"1990",1990-01-14,1990-01-01
1990-01-15,1990,301190.082,4844173.902,"1990",1990-01-14,1990-01-01
1990-01-15,1990,326109.652,4843362.49,"1990",1990-01-14,1990-01-01
1990-01-16,1990,313146.218,4847898.648,"1990",1990-01-14,1990-01-01
1990-01-16,1990,301825.721,4833687.377,"1990",1990-01-14,1990-01-01
1990-01-16,1990,315941.22,4844582.94,"1990",1990-01-14,1990-01-01
1990-01-16,1990,300447.724,4833471.101,"1990",1990-01-14,1990-01-01
1990-01-16,1990,316181.382,4844031.43,"1990",1990-01-14,1990-01-01
1990-01-16,1990,303025.366,4827662.566,"1990",1990-01-14,1990-01-01
1990-01-17,1990,315080.12,4850051.435,"1990",1990-01-14,1990-01-01
1990-01-17,1990,313708.03,4848527.226,"1990",1990-01-14,1990-01-01
1990-01-17,1990,316178.479,4851025.576,"1990",1990-01-14,1990-01-01
1990-01-17,1990,312676.345,4846031.009,"1990",1990-01-14,1990-01-01
