STA,lon,lat
398,-79.24030965,43.75101559
399,-79.4231663,43.72682207
400,-79.53931107,43.64402991
401,-79.4977858,43.66040335
402,-79.44241391,43.74650546
403,-79.20747497,43.76537319
404,-79.49382781,43.72315726
405,-79.34455322,43.73002488
406,-79.23964846,43.72272313
407,-79.36058167,43.73557773
408,-79.34947863,43.74151768
409,-79.40347228,43.75435674
410,-79.31456033,43.7407366
411,-79.54914304,43.67960085
412,-79.4378772,43.77186322
413,-79.26578513,43.72741817
414,-79.5417856,43.73702955
415,-79.54748482,43.71332231
416,-79.49266464,43.63028784
417,-79.42988366,43.72703518
418,-79.52946426,43.66194964
419,-79.29914965,43.74104979
420,-79.50393089,43.7502405
421,-79.47184095,43.64897785
422,-79.49697907,43.72759379
423,-79.46860855,43.73407265
424,-79.52631604,43.65657597
425,-79.4628001,43.71760307
426,-79.53836114,43.66739154
427,-79.55378789,43.76587346
428,-79.35005929,43.71777711
429,-79.36052397,43.7816642
430,-79.46461125,43.76429863
431,-79.51850015,43.64567241
432,-79.39736497,43.64634456
433,-79.49119298,43.72902521
434,-79.50559022,43.7430365
435,-79.50877029,43.64039908
436,-79.30563252,43.71305962
437,-79.30693698,43.70090602
438,-79.25203634,43.73318198
439,-79.53390031,43.71598484
440,-79.36536679,43.74403772
441,-79.54228258,43.60962941
442,-79.53713136,43.66028879
443,-79.52370858,43.68503774
444,-79.43974284,43.7675594
445,-79.49335587,43.73406213
446,-79.44607879,43.7047103
447,-79.56902398,43.64086506
448,-79.42862911,43.78044093
449,-79.44644554,43.75057552
450,-79.44052692,43.75646514
451,-79.46533431,43.69189552
452,-79.57596887,43.68761065
453,-79.53878162,43.73638747
454,-79.20067778,43.73969822
455,-79.44975708,43.73868757
456,-79.5091079,43.64205347
457,-79.55660722,43.66406161
458,-79.39121887,43.77027862
459,-79.55031334,43.6805101
460,-79.53628956,43.61327152
461,-79.264085,43.72782015
462,-79.56596332,43.63167249
463,-79.52436538,43.66128276
464,-79.51205804,43.63049738
465,-79.53688282,43.73550144
466,-79.55918051,43.73048067
467,-79.4892305,43.6345723
468,-79.27405001,43.73661515
469,-79.57898562,43.65338882
470,-79.47723235,43.7174003
471,-79.40432244,43.65304656
472,-79.32231607,43.74436835
473,-79.52333126,43.70821102
474,-79.22139956,43.75728787
475,-79.30342651,43.70930121
476,-79.52889652,43.66042029
477,-79.21019609,43.76157314
478,-79.22883781,43.73845227
479,-79.3961236,43.75076821
480,-79.27386191,43.70987101
481,-79.53368492,43.65859446
482,-79.54616231,43.60630172
483,-79.24124718,43.7726938
484,-79.44862527,43.76410144
485,-79.28236976,43.76143319
486,-79.24972651,43.72922591
487,-79.56519683,43.73030207
